Full name,abv
Master of Enterprise,
Master of European Law,
Master of Finance,
Master of Financial Economics,
Master of Financial Engineering,
Master of Financial Management,
Master of Financial Mathematics,
Master of Financial Planning,
Master of Fine Arts,
Master of Geospatial Science & Technology,
Master of Health Administration,
Master of Health Science,
Master of Humanities,
Master of Industrial and Labor Relations,
Master of International Affairs,
Master of International Business,
Master of International Economics,
Master of International Public Policy,
Master of International Studies,
Master of Information,
Master of Information Management,
Master of Information Systems,
Master of Information System Management,
Master of Investment Management,
Master of International Economics,
Master of Islamic Studies,
Master of IT,
Master of Jurisprudence,
Master of Laws,
Master of Studies in Law,
Master of Landscape Architecture,
Master of Letters,
Master of Liberal Arts,
Master of Library and Information Science,
Master of Management,
Master of Management of Innovation,
Master of Mass Communication and Journalism,
Master of Mathematical Finance,
Master of Mathematics,
Master of Mathematics and Computer Science,
Master of Mathematics and Philosophy,
Master of Medical Science,
Master of Medicine,
Master of Military Art and Science,
Master of Music,
Master of Network and Communications Management,
Master of Occupational Therapy,
Master of Pharmacy,
Master of Philosophy,
Master of Physician Assistant Studies,
Master of Physics,
Master of Political Science,
Master of Professional Studies,
Master of Psychology,
Master of Public Administration,
Master of Public Affairs,
Master of Public Diplomacy,
Master of Public Health,
Master of Public Management,
Master of Public Policy,
Master of Public Relations,
Master of Public Service,
Master of Quantitative Finance,
Master of Rabbinic Studies,
Master of Real Estate Development,
Master of Religious Education,
Master of Research,
Master of Sacred Music,
Master of Sacred Theology,
Master of Science,
Master of Science in Applied Cognition and Neuroscience,
Master of Science in Athletic Training,
Master of Science in Bioinformatics,
Master of Science in Business Analytics,
Master of Science in Clinical Epidemiology,
Master of Science in Computing Research,
Master of Science in Cyber Security,
Master of Science in Education,
Master of Science in Engineering,
Master of Science in Development Administration,
Master of Science in Finance,
Master of Science in Governance & Organizational Sciences,
Master of Science in Government Contracts,
Master of Science in Health Informatics,
Master of Science in Human Resource Development,
Master of Science in Information Assurance,
Master of Science in Information Systems,
Master of Science in Information Technology,
Master of Science in Leadership,
Master of Science in Management,
Master of Science in Nursing,
Master of Science in Project Management,
Master of Science in Quality Assurance,
Master of Science in Risk Management,
Master of Science in Supply Chain Management,
Master of Science in Teaching,
Master of Science in Taxation,
Master of Social Science,
Master of Social Work,
Master of Software Engineering,
Master of Statistics,
Master of Strategic Studies,
Master of Studies,
Master of Surgery,
Master of Theological Studies,
Master of Technology,
Master of Theology,
Master of Urban Planning,
Master of Veterinary Science,
Doctor of Arts,
Doctor of Audiology,
Doctor of Aviation ,
Doctor of Business Administration,
Doctor of Canon Law,
Doctor of Chiropractic,
Doctor of Commerce,
Doctor of Community Health,
Doctor of Dental Surgery,
Doctor of Divinity,
Doctor of Education ,
Doctor of Engineering,
Doctor of Fine Arts,
Doctor of Health Administration,
Doctor of Health Science,
Doctor of Juridical Science; Juris Doctor,
Doctor of Law; Legum Doctor,
Doctor of Liberal Studies,
Doctor of Management,
Doctor of Medicine ,
Doctor of Ministry ,
Doctor of Modern Languages,
Doctor of Musical Arts,
Doctor of Naturopathic Medicine,
Doctor of Optometry,
Doctor of Osteopathic Medicine,
Doctor of Pharmacy,
Doctor of Philosophy ,
Doctor of Psychology ,
Doctor of Public Administration,
Doctor of Science,
Doctor of Theology ,
Doctor of Veterinary Medicine,
Doctor of Radio oncology,
GENERAL AGRICULTURE,
AGRICULTURE PRODUCTION AND MANAGEMENT,
AGRICULTURAL ECONOMICS,
ANIMAL SCIENCES,
FOOD SCIENCE,
PLANT SCIENCE AND AGRONOMY,
SOIL SCIENCE,
MISCELLANEOUS AGRICULTURE,
FORESTRY,
NATURAL RESOURCES MANAGEMENT,
FINE ARTS,
DRAMA AND THEATER ARTS,
MUSIC,
VISUAL AND PERFORMING ARTS,
COMMERCIAL ART AND GRAPHIC DESIGN,
FILM VIDEO AND PHOTOGRAPHIC ARTS,
STUDIO ARTS,
