,Skills
60,"[' Extensive experience ofHtml5, Xhtml, Css3, JavaScript, Jquery, Bootstrap 3,  • Designing and develop responsive user interfaces for various kinds of web applications.  • UI development for desktop, mobile devices, Tablets.  • Create website in table format using div table.  • Testing and troubleshooting of web pages in different browsers/devices.  •  Creating  responsive  designing  web  pages  (usingbootstrap  css3  and  html5)  for  multiple  devices  including mobile & tablets and all major desktop browsers.  • Ability to produce clear documented and commented code. ', 'JavaScript, Jquery, Css, Css3 M', 'XHTML4.0, HTML5  Framework: Bootstrap 3,4 O', 'Wordpress 4.2 D', 'Subline, Notepad  ++, eclipse A', 'Apache 2.4, SVN Server O']"
61,"['Conversant with MS office.  ', 'knowledge of software like MATLAB, PSIM, ETAP, PSCAD, Pro-E, JMAG, MAXWELL.  ']"
62,"[' IT Skills    review meetings.    • Strong Communication and Presentation skills, and will be able to handle Client calls and Business    • Good hands-on Experience Creating and presenting reports and dashboards on Power BI.    • Comprehensive knowledge of Data design & visualization techniques in Power BI Desktop, Data    Management, Data Modelling, and Analysing. P', 'DATABASES MySQL, SQL  Server 2016, SQL Server 2017 POWER BI Power BI Desktop. P', 'POWER BI SERVICES POWER BI REPORT  BUILDER DAX STUDIO  ', 'Microsoft Excel    • Power Bi  ']"
63,[]
64,['IT Skills    • Seo (1 year)    • Graphics Design (1 year)    • Digital Marketing (2 years)    • Marketing    • Photoshop (1 year)    • Illustrator (1 year)    • After Effects (1 year)    • Premiere Pro (1 year)  ']
65,['Skills / IT Skills    • Configuration management    • Computer science    • HTML5    • CSS    • Python    • Django    • OOP    • IT    • Application development    • MySQL    • Debugging  ']
66,[]
67,[]
68,"[' Knowledge in Adobe Illustrator, Video Editing, Photoshop ', ' Skills / IT Skills    • Digital Marketing    • Photoshop    • Illustrator    • Marketing    • SEO    • Google Analytics ']"
69,['Skills / IT Skills    • Sales and marketing    • Computer skills  ']
70,"[' Skills / IT Skills    • Programming Language: C, Basic of C++, Basics of Java, HTML, C#.Net, Python. (Less than 1 year)    • Operating System: Windows-XP, Windows-7, Windows-10, Ubuntu, Fedora. (Less than 1 year)    • Database: MySQL/Oracle.    • Office ', ' Theoretically Acquainted: Database Management System, Object Oriented Programming. ']"
71,[' Skills / IT Skills    • Digital Marketing (2 years)    • Marketing    • Computer skills    • Customer service    • Sales ']
72,[' Skills / IT Skills    • Php (3 years)    • Laravel (2 years)    • Jquery    • Javascript    • Bootstrap    • Mysql    • ajax ']
73,"[' Marketing, administration (7 years)    • Sales    • Marketing    • Communication skills    • Business development ']"
74,"['Proficient in working on MS Office, pivot, data modeling, ppts, ']"
75,"[' Analysis of     \uf0fc In-Process/ Bulk/ Finished Products ', ' Stability Samples ', ' Thorough Knowledge of Start-up, Operation, Calibration, Performance Verification,   Preventive Maintenance, and Trouble shooting of the below Critical Instruments. ', ' HPLC  \uf0fc UV Spectrophotometer  \uf0fc Analytical Balance  \uf0fc pH Meter ', ' Preparation of volumetric solutions ', ' Standardisation of Volumetric solutions ', ' Preparation of Reagents, Indicators, Mobile phases, Buffers ', 'Planning and Execution of Stability report  ', 'Preparation and review of Stability summary reports  ', 'Facing Regulatory/customer/ Local Certification Audit    AREAS OF INTEREST  ', 'QC/ R&D / Regulatory Affairs  ', 'Clinical Research  ', 'Diagnosis Disease  ']"
76,[]
77,"[' Testing and repairing Electric   wiring and fitting Simple Home   Appliances. ', ' *CCTV Camera Installation,', ' Maintenance & N etworking    Work ', ' .*CCTV Camera,   DVR,NVR,HVR System,   Connectors  Cable, Power supply   Work. Detector Alarm System   work. ', ' Heating Appliances, Electric   fan, Desert Cooler, Starters   Fitting & Repairing. ', ' •DTH, Battery, Charger, Torch,   Emergency Light, CFL,LED   Repairing & Soldering. ', ' Repairing in Refrigeration & Air-  conditioning.PCB Board, Gas   Charging Work. ', ' Single Phase & Three Phase   Panel Board Wiring. ', ' Switch and circuit design and   Implementation, Earthling Works. ', ' Repairing in Mixer-Grinder,   Washing Machine. ', ' Electronic instrument design and   implementation. ', ' Mobile phone Repairing ']"
78,[' Skills / IT Skills    • Business development    • Marketing    • Sales    • Communication skills    • Digital Marketing    • English    • Negotiation    • Computer skills    • Microsoft Excel    • Customer service ']
79,[' Skills / IT Skills    • Java    • Spring    • JavaScript    • REST    • SQL    • Spring Boot    • MySQL    • HTML    • CSS    • Core Java    • SVN    • JSP ']
80,[' Education    Skills / IT Skills    • DIGITAL MEDIA MARKETING    • Convincing Power    • SOCIAL MEDIA MARKETING    • Hardworking    • GRAPHIC DESIGNING    • SOCIAL MEDIA SERVICE PROVIDER    • INTERNSHIPS    • INSTAGRAM INFLUENCER    • PERSONAL BRANDING    • SOCIAL MEDIA CONSULTANT    • COMMERCIAL LAWS    • TRADING EXPERT    • DATA ENTRY EXPERT ']
81,"[' Ms Office (Word, Excel, Powerpoint) ', ' Skills / IT Skills    • Photoshop    • PHP (1 year)    • JavaScript (2 years)    • HTML5 (2 years)    • Java    • SQL    • angular (2 years)    • nodejs (2 years)    • Mongodb (2 years) ']"
82,"[' Skills / IT Skills    • Microsoft office, ms-word,    • Sales    • Marketing    • Communication skills    • Business development    • Computer skills    • Customer service    • Microsoft Excel ']"
83,[' Skills / IT Skills    • Python    • JavaScript    • HTML5    • Python (2 years)    • Node.js (Less than 1 year)    • Django (2 years)    • MySQL (3 years)    • Java (2 years) ']
84,[' Skills / IT Skills    • Data Entry    • Data Entry ']
85,[]
86,[]
87,"['Good Understanding of Electrical Drawing,  Planning of Project, Operation & Maintenance,    Short Circuit & Voltage drop Calculation at each level of Distribution.  ', 'Experience of Power & Lighting Distribution system, MDB, SMDB, DB, Capacitor Bank Panel, ', 'Experienced in A/C system and control, Packages, Spilt units, Pumps, HVAC system i.e. AHU,     street lighting UPS, Generator set.    FAHU, FCU and cooling tower.  ', 'Having knowledge for Plumbing, firefighting and civil Maintenance.  ', 'Good Understanding of Microsoft office (Word, Excel, Power point, Outlook….)  ']"
88,[]
89,"[' Operating System ', ' Programming Languages         Markup Languages ', ' Windows 07, 08, Linux   C,C++   HTML ']"
90,[]
91,['Asp . Net MVC (Less than 1 year)    • AngularJS (Less than 1 year)    • Entity Framework (Less than 1 year)    • .NET    • JavaScript    • HTML5    • SQL    • jQuery    • Bootstrap    • CSS  ']
92,[' Javascript (1 year)    • React Js (1 year)    • Node Js (1 year)    • Mongo DB (1 year)    • Express JS (1 year)    • Html (1 year)    • Css (1 year)    • C (Less than 1 year)    • C++ (1 year) ']
93,"[' Client Side Technologies HTML5, media query, JavaScript, Bootstrap, CSS3, angular2, ReactJS, Redux  Server Side Technologies Java  Languages Java core, Java Advance, java Script  Operating System Windows, Ubuntu  IDE Eclipse, Netbeans, Brackets, VS Code  Third Party jaco mp3 player, testng, log4j, social login  Database MySql,  Framework Collection, Struts ']"
94,"[' CSS (2 years)    • Bootstrap (2 years)    • CMS (2 years)    • Adobe Photoshop (Less than 1 year)    • CONTENT MANAGEMENT SYSTEM (Less than 1 year)    • Html, css, wordpress, seo, photoshop, corel draw    Additional Information ']"
95,"[' iOS Development ', ' User Interface (UI) ', ' Objective-C ', ' JSON    • Swift    • iOS    • Git    • MVC    • APIs    • Application Development    • Design Patterns ']"
96,"[' C,', ' C++,', ',Asp.NET,', ' Microsoft SQL,', ' networking. ', ' Adobe Photoshop,', ' Microsoft visual studio. ', ' Programming and Algorithmes,', ' Operating system,', ' Data Base Management Systems ', 'SYSTEMS CLOUD COMPUTING  ']"
97,"['Customer service principles; ', 'Modern office procedures, ', 'Providing customer service; ', 'Keyboarding; ']"
98,"[' Problem solving – supervisory skills ', ' Quality Assurance & Quality control ', 'shift handling.  ', 'programming.  ', 'monitoring o', 'problem solving.  ']"
99,"['igning skill.  \uf076 H', '  C', '     ', 'ocad.    \uf076', '  office,   W', 'dows   XP,    ', 'dows 7, MS-', ' DOS.     ']"
100,"['Electrical Wiring work o', 'Maintenance of electrical equipment.  ', 'Troubleshooting of Electrical Installation.  ', 'Faults Detection a']"
101,"['Open Office.  ', 'Auto CAD, ', 'E Tab, ', 'MX Road, ', 'Google Earth, ', 'E-survey Solutions, ', 'GPS Track maker. M', 'MS Excel, ', 'Power Point.  ']"
102,[]
103,"[' Air handling Unit (AHU) Installing ', ' installing   and   managing   cooling   and   heating    systems. ', 'Windows XP, ', 'Windows 7, ', 'Windows 8 a', 'Internet                                                  Surfing a', 'MS office E', 'Excel  ']"
104,"[' C,', ' C++,', ',Asp.NET,', ' Microsoft SQL,', ' networking. ', ' Adobe Photoshop,', ' Microsoft visual studio. ']"
105,"[' MS Office ', ' AutoCAD ']"
106,[]
107,"['Maintaining effective client’s coordination.  ', 'Maintaining & updating records.  ', 'Team Handling.  ', 'problem- solving a', 'analytical skills.  ', 'S Office (M', 'S Word, M', 'S Excel, P', 'ower Point). ']"
